                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.44232,                0.48356,                0.49861,                0.90107,                0.93924,                 0.6747,                0.75049,                0.64814,                0.92247,                0.66265,                0.72863,                0.57132,                0.77788,                  2.494,                 1.1192,                 1.0454,              0.0004754,              0.0004754,              0.0004754
                     80,                0.38167,                0.52709,                0.45618,                0.85595,                0.92669,                 0.6747,                0.75536,                0.65083,                0.90978,                0.66265,                0.73015,                0.57269,                0.77108,                 2.4107,                 1.0899,                 1.0368,              0.0004556,              0.0004556,              0.0004556
                     81,                0.49957,                0.61319,                 0.5655,                 0.8832,                 0.9233,                 0.6988,                 0.7587,                0.65815,                0.90833,                0.66265,                0.72083,                0.56237,                0.77037,                 2.4457,                 1.0942,                 1.0379,              0.0004358,              0.0004358,              0.0004358
                     82,                0.42139,                0.52758,                0.55909,                0.86716,                0.89365,                0.70872,                0.75935,                0.66238,                0.89365,                0.70872,                0.74425,                0.56797,                0.79467,                  2.342,                 1.1377,                 1.0583,               0.000416,               0.000416,               0.000416
                     83,                 0.4419,                0.54791,                 0.4954,                 0.8686,                0.89698,                 0.6747,                0.75254,                0.66332,                0.89698,                 0.6747,                0.73917,                0.58131,                0.79712,                 2.3093,                 1.1547,                 1.0648,              0.0003962,              0.0003962,              0.0003962
                     84,                0.48231,                0.58172,                0.50621,                0.86595,                0.88973,                 0.6805,                0.75177,                0.66384,                0.88973,                 0.6805,                0.73939,                0.57692,                0.80058,                 2.3673,                  1.136,                 1.0698,              0.0003764,              0.0003764,              0.0003764
                     85,                0.42236,                0.55535,                0.49732,                0.85963,                0.90504,                0.68897,                0.75409,                0.65969,                0.90504,                0.68897,                0.74148,                0.57413,                0.80034,                 2.4138,                 1.1299,                 1.0734,              0.0003566,              0.0003566,              0.0003566
                     86,                0.40885,                0.49199,                0.51442,                0.84464,                0.93143,                0.71084,                0.75889,                 0.6606,                0.93143,                0.71084,                0.74599,                0.58013,                0.79541,                 2.4465,                 1.1136,                 1.0701,              0.0003368,              0.0003368,              0.0003368
                     87,                0.40604,                0.60354,                0.50307,                0.83866,                 0.9142,                0.71084,                0.76212,                0.66621,                 0.9142,                0.71084,                0.75059,                0.59124,                0.79218,                 2.5438,                  1.091,                 1.0703,               0.000317,               0.000317,               0.000317
                     88,                0.41772,                0.52778,                0.49541,                0.86657,                0.89422,                0.71296,                0.76594,                0.66522,                0.89422,                0.71296,                0.74882,                0.60204,                0.79424,                 2.5761,                 1.0583,                 1.0764,              0.0002972,              0.0002972,              0.0002972
                     89,                0.40941,                0.51057,                0.50205,                0.85206,                0.87095,                0.73184,                0.76661,                 0.6661,                0.91747,                 0.6988,                0.74896,                0.60598,                0.79716,                 2.6578,                 1.0446,                 1.0845,              0.0002774,              0.0002774,              0.0002774
                     90,                0.39988,                0.49813,                0.45759,                 0.8395,                 0.8606,                0.73494,                0.76871,                0.66367,                0.93051,                0.68675,                0.74757,                0.60766,                0.77802,                 2.5929,                 1.0125,                 1.0762,              0.0002576,              0.0002576,              0.0002576
                     91,                0.35726,                0.50812,                0.44794,                0.83049,                0.86405,                0.73494,                0.76427,                 0.6663,                0.91766,                0.68675,                0.74298,                0.60687,                0.76919,                 2.5413,                 1.0219,                 1.0727,              0.0002378,              0.0002378,              0.0002378
                     92,                0.38709,                0.51994,                0.51067,                0.81577,                0.84665,                0.74699,                 0.7616,                0.66609,                0.83299,                0.73494,                0.74043,                0.60391,                0.75241,                 2.4135,                 1.0217,                 1.0619,               0.000218,               0.000218,               0.000218
                     93,                0.35289,                0.45424,                0.45335,                0.82205,                0.87054,                0.73494,                0.76426,                0.66447,                0.85497,                0.72289,                0.74429,                0.60575,                 0.7527,                 2.3522,                  1.032,                 1.0614,              0.0001982,              0.0001982,              0.0001982
                     94,                0.32196,                0.40053,                0.48549,                0.82527,                 0.8728,                0.74405,                0.76513,                0.67041,                0.85879,                0.73275,                0.74598,                0.60815,                0.75895,                 2.3051,                 1.0497,                 1.0638,              0.0001784,              0.0001784,              0.0001784
                     95,                0.36024,                0.44558,                0.44735,                0.83296,                0.87463,                0.74699,                0.76913,                0.66791,                0.86052,                0.73494,                0.75015,                0.61375,                0.76394,                 2.2709,                 1.0659,                 1.0692,              0.0001586,              0.0001586,              0.0001586
                     96,                0.39522,                0.75753,                 0.5642,                 0.8528,                0.87209,                0.74699,                0.77357,                0.66719,                0.85802,                0.73494,                0.75373,                0.61242,                0.76898,                 2.2251,                 1.0713,                  1.071,              0.0001388,              0.0001388,              0.0001388
                     97,                0.35071,                0.52343,                0.51075,                0.82519,                0.88484,                0.71084,                0.77871,                0.66784,                0.86984,                 0.6988,                0.75785,                0.61049,                0.76763,                 2.2022,                 1.0727,                 1.0704,               0.000119,               0.000119,               0.000119
                     98,                0.32193,                0.41578,                0.45418,                0.82884,                0.88202,                0.72063,                0.78003,                0.66633,                0.86728,                0.70858,                 0.7584,                0.61306,                0.76649,                 2.1863,                 1.0714,                   1.07,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.34631,                0.44247,                0.42978,                 0.8079,                0.88202,                0.72064,                0.77869,                0.66841,                0.86732,                0.70883,                0.75743,                0.60813,                0.76001,                 2.1491,                 1.0657,                 1.0669,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.31601,                0.39655,                0.44743,                0.80559,                 0.8687,                0.71084,                 0.7789,                0.67254,                0.85362,                 0.6988,                0.75836,                0.61002,                0.75527,                 2.0925,                 1.0568,                 1.0651,               5.96e-05,               5.96e-05,               5.96e-05
